old file name,new file name,organism,phenotype,SCS,LH or M,plant or animal,within or between species,SE provided?,notes,"data type: standard, PSU, cmat",cmat (if assigned),reference,,,,,,,,,,,,
,aphid.num.csv,Willow,total number of aphids,NSC,M,plant,between,Y,,standard,,"Czesak, M.E., et al. 2004. Genetic architecture of resistance to aphids and mites in a willow hybrid system. Heredity, 93, 619-626",,,,,,,,,,,,
,aphid.survA.csv,Willow,aphid survival,NSC,M,plant,between,Y,aphid survival graph A,standard,,"Czesak, M.E., et al. 2004. Genetic architecture of resistance to aphids and mites in a willow hybrid system. Heredity, 93, 619-626",,,,,,,,,,,,
,aphid.survB.csv,Willow,aphid survival,NSC,M,plant,between,Y,aphid survival graph B,standard,,"Czesak, M.E., et al. 2004. Genetic architecture of resistance to aphids and mites in a willow hybrid system. Heredity, 93, 619-626",,,,,,,,,,,,
file 1 .csv,ban.inf.csv,T. castaneum,number of offspring,XY,LH,animal,within,Y,,standard,,"Demuth, Jeffery Paul. Evolution of Hybrid Incompatibility in the Beetle Tribolium Castaneum. Indiana University, 2004.",,,,,,,,,,,,
file 2 .csv,ban.osa.csv,T. castaneum,number of offspring,XY,LH,animal,within,Y,,standard,,"Demuth, Jeffery Paul. Evolution of Hybrid Incompatibility in the Beetle Tribolium Castaneum. Indiana University, 2004.",,,,,,,,,,,,
file 3 .csv,ban.sq.csv,T. castaneum,number of offspring,XY,LH,animal,within,Y,,standard,,"Demuth, Jeffery Paul. Evolution of Hybrid Incompatibility in the Beetle Tribolium Castaneum. Indiana University, 2004.",,,,,,,,,,,,
file 4 .csv,bh.sq.csv,T. castaneum,number of offspring,XY,LH,animal,within,Y,,standard,,"Demuth, Jeffery Paul. Evolution of Hybrid Incompatibility in the Beetle Tribolium Castaneum. Indiana University, 2004.",,,,,,,,,,,,
,biomassLCA.csv,Lycopersicon,above ground biomass,NSC,M,plant,between,Y,,standard,,"Elliott, Jorja",,,,,,,,,,,,
,bodyweight60.fem.csv,mice,60 day bodyweight in females,XY,M,animal,within,Y,,PSU,,"Chai, C.K. (1955) Analysis of quantitative inheritance of body size in mice. II. Gene action and segregation. Genetics. ",,,,,,,,,,,,
,bodyweight60.male.csv,mice,60 day bodyweight in males,XY,M,animal,within,Y,,PSU,,"Chai, C.K. (1955) Analysis of quantitative inheritance of body size in mice. II. Gene action and segregation. Genetics. ",,,,,,,,,,,,
,bodyweight69.csv,rainbow trout,body weight,XY,M,animal,within,Y,,PSU,,"Gall, G.A.E. (1975) Genetics of reproduction in domesticated rainbow trout. Journal of Animal Science. 40(1), 19-28.",,,,,,,,,,,,
,bodyweight71.csv,rainbow trout,body weight,XY,M,animal,within,Y,,PSU,,"Gall, G.A.E. (1975) Genetics of reproduction in domesticated rainbow trout. Journal of Animal Science. 40(1), 19-28.",,,,,,,,,,,,
,branch.no1.csv,eggplant (Solanum melongena),number of branches,NSC,M,plant,within,N,,PSU,,"Gill, H.S., Arora, R.S., Pachauri, D.C. (1976) Inheritance of quantitative characters in eggplant. Indian J. agric. Sci.  46(10), 484-490.",,,,,,,,,,,,
,branch.no2.csv,eggplant (Solanum melongena),number of branches,NSC,M,plant,within,N,,PSU,,"Gill, H.S., Arora, R.S., Pachauri, D.C. (1976) Inheritance of quantitative characters in eggplant. Indian J. agric. Sci.  46(10), 484-490.",,,,,,,,,,,,
,branch.no3.csv,eggplant (Solanum melongena),number of branches,NSC,M,plant,within,N,,PSU,,"Gill, H.S., Arora, R.S., Pachauri, D.C. (1976) Inheritance of quantitative characters in eggplant. Indian J. agric. Sci.  46(10), 484-490.",,,,,,,,,,,,
,branch.no4.csv,eggplant (Solanum melongena),number of branches,NSC,M,plant,within,N,,PSU,,"Gill, H.S., Arora, R.S., Pachauri, D.C. (1976) Inheritance of quantitative characters in eggplant. Indian J. agric. Sci.  46(10), 484-490.",,,,,,,,,,,,
,branch.no5.csv,eggplant (Solanum melongena),number of branches,NSC,M,plant,within,N,,PSU,,"Gill, H.S., Arora, R.S., Pachauri, D.C. (1976) Inheritance of quantitative characters in eggplant. Indian J. agric. Sci.  46(10), 484-490.",,,,,,,,,,,,
,branch.no6.csv,eggplant (Solanum melongena),number of branches,NSC,M,plant,within,N,,PSU,,"Gill, H.S., Arora, R.S., Pachauri, D.C. (1976) Inheritance of quantitative characters in eggplant. Indian J. agric. Sci.  46(10), 484-490.",,,,,,,,,,,,
,c.anthesis1.csv,Pearl millet (Pennisetum typhoides),plant height,NSC,M,plant,within,N,"control, anthesis",PSU,,"Sagar, P. (1990) Inheritance of plant height in pearl millet. Indian J. Genet. 50(3), 233-239. ",,,,,,,,,,,,
,c.anthesis2.csv,Pearl millet (Pennisetum typhoides),plant height,NSC,M,plant,within,N,"control, anthesis",PSU,,"Sagar, P. (1990) Inheritance of plant height in pearl millet. Indian J. Genet. 50(3), 233-239. ",,,,,,,,,,,,
,c.anthesis3.csv,Pearl millet (Pennisetum typhoides),plant height,NSC,M,plant,within,N,"control, anthesis",PSU,,"Sagar, P. (1990) Inheritance of plant height in pearl millet. Indian J. Genet. 50(3), 233-239. ",,,,,,,,,,,,
,c.anthesis4.csv,Pearl millet (Pennisetum typhoides),plant height,NSC,M,plant,within,N,"control, anthesis",PSU,,"Sagar, P. (1990) Inheritance of plant height in pearl millet. Indian J. Genet. 50(3), 233-239. ",,,,,,,,,,,,
,c.panicle1.csv,Pearl millet (Pennisetum typhoides),plant height,NSC,M,plant,within,N,"control, panicle initiation",PSU,,"Sagar, P. (1990) Inheritance of plant height in pearl millet. Indian J. Genet. 50(3), 233-239. ",,,,,,,,,,,,
,c.panicle2.csv,Pearl millet (Pennisetum typhoides),plant height,NSC,M,plant,within,N,"control, panicle initiation",PSU,,"Sagar, P. (1990) Inheritance of plant height in pearl millet. Indian J. Genet. 50(3), 233-239. ",,,,,,,,,,,,
,c.panicle3.csv,Pearl millet (Pennisetum typhoides),plant height,NSC,M,plant,within,N,"control, panicle initiation",PSU,,"Sagar, P. (1990) Inheritance of plant height in pearl millet. Indian J. Genet. 50(3), 233-239. ",,,,,,,,,,,,
,c.panicle4.csv,Pearl millet (Pennisetum typhoides),plant height,NSC,M,plant,within,N,"control, panicle initiation",PSU,,"Sagar, P. (1990) Inheritance of plant height in pearl millet. Indian J. Genet. 50(3), 233-239. ",,,,,,,,,,,,
,c.panicle5.csv,Pearl millet (Pennisetum typhoides),plant height,NSC,M,plant,within,N,"control, panicle initiation",PSU,,"Sagar, P. (1990) Inheritance of plant height in pearl millet. Indian J. Genet. 50(3), 233-239. ",,,,,,,,,,,,
,c.panicle6.csv,Pearl millet (Pennisetum typhoides),plant height,NSC,M,plant,within,N,"control, panicle initiation",PSU,,"Sagar, P. (1990) Inheritance of plant height in pearl millet. Indian J. Genet. 50(3), 233-239. ",,,,,,,,,,,,
,Caloptilia.csv,Willow,herbivore density,NSC,M,plant,between,Y,Caloptilia sp.,standard,,"Hochwender, C.G. & Fritz, R.S. (2004). Plant genetic differences influence herbivore community structure: evidence from a hybrid willow system. Oecologia. 138, 547-557.",,,,,,,,,,,,
,calyx.csv,"Mimulus cuprilphilus, Mimulus guttatus",calyx length,NSC,M,plant,between,Y,,PSU,,"Macnair, M. R., Cumbes, Q. J. (1989) The genetic architecture of interspecific variation in Mimulus. Genetics. 122, 211-222.",,,,,,,,,,,,
,catkin.gardens.csv,Willow,number of catkins,NSC,LH,plant,between,Y,env of all 6 gardens,standard,,"Fritz, R.S., et al. 2006. Fitness and genetic architecture of parent and hybrid willows in common gardens. Evolution. 60(6), 1215-1227.",,,,,,,,,,,,
,catkin.num.csv,Willow,filled seeds/catkin,NSC,LH,plant,between,Y,,standard,,"Fritz, R.S., et al. 2006. Fitness and genetic architecture of parent and hybrid willows in common gardens. Evolution. 60(6), 1215-1227.",,,,,,,,,,,,
,chloroLCA.csv,Lycopersicon,chlorophyll content,NSC,M,plant,between,Y,,standard,,"Elliott, Jorja",,,,,,,,,,,,
file 5 .csv,col.ban.csv,T. castaneum,number of offspring,XY,LH,animal,within ,Y,,standard,,"Demuth, Jeffery Paul. Evolution of Hybrid Incompatibility in the Beetle Tribolium Castaneum. Indiana University, 2004.",,,,,,,,,,,,
,coleolen1.csv,rye (Secale cereale L..),coleoptile length (mm),NSC,M,plant,within,N,,PSU,,"Lapinski, M., Parzyszek, B. (1982) Nonallelic interaction in inheritance of some quantitative traits in interlinear hybrids of rye (Secale cereale L..) Genetica polonica. 23(1-2), 31-40. ",,,,,,,,,,,,
,coleolen2.csv,rye (Secale cereale L..),coleoptile length (mm),NSC,M,plant,within,N,,PSU,,"Lapinski, M., Parzyszek, B. (1982) Nonallelic interaction in inheritance of some quantitative traits in interlinear hybrids of rye (Secale cereale L..) Genetica polonica. 23(1-2), 31-40. ",,,,,,,,,,,,
,coleolen3.csv,rye (Secale cereale L..),coleoptile length (mm),NSC,M,plant,within,N,,PSU,,"Lapinski, M., Parzyszek, B. (1982) Nonallelic interaction in inheritance of some quantitative traits in interlinear hybrids of rye (Secale cereale L..) Genetica polonica. 23(1-2), 31-40. ",,,,,,,,,,,,
,coleolen4.csv,rye (Secale cereale L..),coleoptile length (mm),NSC,M,plant,within,N,,PSU,,"Lapinski, M., Parzyszek, B. (1982) Nonallelic interaction in inheritance of some quantitative traits in interlinear hybrids of rye (Secale cereale L..) Genetica polonica. 23(1-2), 31-40. ",,,,,,,,,,,,
,coleolen5.csv,rye (Secale cereale L..),coleoptile length (mm),NSC,M,plant,within,N,,PSU,,"Lapinski, M., Parzyszek, B. (1982) Nonallelic interaction in inheritance of some quantitative traits in interlinear hybrids of rye (Secale cereale L..) Genetica polonica. 23(1-2), 31-40. ",,,,,,,,,,,,
,corolla.csv,"Mimulus cuprilphilus, Mimulus guttatus",corolla length,NSC,M,plant,between,Y,,PSU,,"Macnair, M. R., Cumbes, Q. J. (1989) The genetic architecture of interspecific variation in Mimulus. Genetics. 122, 211-222.",,,,,,,,,,,,
,cot.area.csv,spanish clover,cotyledon area (mm2),NSC,M,plant,within,Y,,PSU,,"Pinchbeck, B.R., et al. (1980) Genetic studies of symbiotic nitrogen fixation in spanish clover. Can. J. Plant Sci. 60, 509-518. ",,,,,,,,,,,,
file 6 .csv,cro.inf.csv,T. castaneum,number of offspring,XY,LH,animal,within ,Y,,standard,,"Demuth, Jeffery Paul. Evolution of Hybrid Incompatibility in the Beetle Tribolium Castaneum. Indiana University, 2004.",,,,,,,,,,,,
,cs.panicle1.csv,Pearl millet (Pennisetum typhoides),plant height,NSC,M,plant,within,N,"complete stress, panicle initiation",PSU,,"Sagar, P. (1990) Inheritance of plant height in pearl millet. Indian J. Genet. 50(3), 233-239. ",,,,,,,,,,,,
,cs.panicle2.csv,Pearl millet (Pennisetum typhoides),plant height,NSC,M,plant,within,N,"complete stress, panicle initiation",PSU,,"Sagar, P. (1990) Inheritance of plant height in pearl millet. Indian J. Genet. 50(3), 233-239. ",,,,,,,,,,,,
,cs.panicle3.csv,Pearl millet (Pennisetum typhoides),plant height,NSC,M,plant,within,N,"complete stress, panicle initiation",PSU,,"Sagar, P. (1990) Inheritance of plant height in pearl millet. Indian J. Genet. 50(3), 233-239. ",,,,,,,,,,,,
,cs.panicle4.csv,Pearl millet (Pennisetum typhoides),plant height,NSC,M,plant,within,N,"complete stress, panicle initiation",PSU,,"Sagar, P. (1990) Inheritance of plant height in pearl millet. Indian J. Genet. 50(3), 233-239. ",,,,,,,,,,,,
,cs.panicle5.csv,Pearl millet (Pennisetum typhoides),plant height,NSC,M,plant,within,N,"complete stress, panicle initiation",PSU,,"Sagar, P. (1990) Inheritance of plant height in pearl millet. Indian J. Genet. 50(3), 233-239. ",,,,,,,,,,,,
,cs.panicle6.csv,Pearl millet (Pennisetum typhoides),plant height,NSC,M,plant,within,N,"complete stress, panicle initiation",PSU,,"Sagar, P. (1990) Inheritance of plant height in pearl millet. Indian J. Genet. 50(3), 233-239. ",,,,,,,,,,,,
file 8 .csv,da.sq.csv,T. castaneum,number of offspring,XY,LH,animal,within ,Y,,standard,,"Demuth, Jeffery Paul. Evolution of Hybrid Incompatibility in the Beetle Tribolium Castaneum. Indiana University, 2004.",,,,,,,,,,,,
file 7 .csv,dar.bho.csv,T. castaneum,number of offspring,XY,LH,animal,within ,Y,,standard,,"Demuth, Jeffery Paul. Evolution of Hybrid Incompatibility in the Beetle Tribolium Castaneum. Indiana University, 2004.",,,,,,,,,,,,
,develop.acid1.csv,Drosophila rnelanogaster,development time with high food/propionic acid,XY,LH,animal,within,Y,,PSU,,"Blows, M. W., Sokolowski, M. B. (1995) The expression of additive and nonadditive genetic variation. Genetics. 140, 1149-1159.",,,,,,,,,,,,
,develop.acid2.csv,Drosophila rnelanogaster,development time with high food/propionic acid,XY,LH,animal,within,Y,,PSU,,"Blows, M. W., Sokolowski, M. B. (1995) The expression of additive and nonadditive genetic variation. Genetics. 140, 1149-1159.",,,,,,,,,,,,
,develop.acid3.csv,Drosophila rnelanogaster,development time with high food/propionic acid,XY,LH,animal,within,Y,,PSU,,"Blows, M. W., Sokolowski, M. B. (1995) The expression of additive and nonadditive genetic variation. Genetics. 140, 1149-1159.",,,,,,,,,,,,
,develop.acid4.csv,Drosophila rnelanogaster,development time with high food/propionic acid,XY,LH,animal,within,Y,,PSU,,"Blows, M. W., Sokolowski, M. B. (1995) The expression of additive and nonadditive genetic variation. Genetics. 140, 1149-1159.",,,,,,,,,,,,
,develop.acid5.csv,Drosophila rnelanogaster,development time with high food/propionic acid,XY,LH,animal,within,Y,,PSU,,"Blows, M. W., Sokolowski, M. B. (1995) The expression of additive and nonadditive genetic variation. Genetics. 140, 1149-1159.",,,,,,,,,,,,
,develop.high1.csv,Drosophila rnelanogaster,development time with high food,XY,LH,animal,within,Y,,PSU,,"Blows, M. W., Sokolowski, M. B. (1995) The expression of additive and nonadditive genetic variation. Genetics. 140, 1149-1159.",,,,,,,,,,,,
,develop.high2.csv,Drosophila rnelanogaster,development time with high food,XY,LH,animal,within,Y,,PSU,,"Blows, M. W., Sokolowski, M. B. (1995) The expression of additive and nonadditive genetic variation. Genetics. 140, 1149-1159.",,,,,,,,,,,,
,develop.high3.csv,Drosophila rnelanogaster,development time with high food,XY,LH,animal,within,Y,,PSU,,"Blows, M. W., Sokolowski, M. B. (1995) The expression of additive and nonadditive genetic variation. Genetics. 140, 1149-1159.",,,,,,,,,,,,
,develop.high4.csv,Drosophila rnelanogaster,development time with high food,XY,LH,animal,within,Y,,PSU,,"Blows, M. W., Sokolowski, M. B. (1995) The expression of additive and nonadditive genetic variation. Genetics. 140, 1149-1159.",,,,,,,,,,,,
,develop.high5.csv,Drosophila rnelanogaster,development time with high food,XY,LH,animal,within,Y,,PSU,,"Blows, M. W., Sokolowski, M. B. (1995) The expression of additive and nonadditive genetic variation. Genetics. 140, 1149-1159.",,,,,,,,,,,,
,develop.low1.csv,Drosophila rnelanogaster,development time with low food,XY,LH,animal,within,Y,,PSU,,"Blows, M. W., Sokolowski, M. B. (1995) The expression of additive and nonadditive genetic variation. Genetics. 140, 1149-1159.",,,,,,,,,,,,
,develop.low2.csv,Drosophila rnelanogaster,development time with low food,XY,LH,animal,within,Y,,PSU,,"Blows, M. W., Sokolowski, M. B. (1995) The expression of additive and nonadditive genetic variation. Genetics. 140, 1149-1159.",,,,,,,,,,,,
,develop.low3.csv,Drosophila rnelanogaster,development time with low food,XY,LH,animal,within,Y,,PSU,,"Blows, M. W., Sokolowski, M. B. (1995) The expression of additive and nonadditive genetic variation. Genetics. 140, 1149-1159.",,,,,,,,,,,,
,develop.low4.csv,Drosophila rnelanogaster,development time with low food,XY,LH,animal,within,Y,,PSU,,"Blows, M. W., Sokolowski, M. B. (1995) The expression of additive and nonadditive genetic variation. Genetics. 140, 1149-1159.",,,,,,,,,,,,
,diff.silk.shed.csv,Z. mays,difference in days between silking and pollen shedding,NSC,LH,plant,within ,Y,,standard,,"Mohamed, A. H. (1958). Inheritance of quantitative characters in zea mays. I. Estimation of the number of genes controlling the time of maturity. Genetics, 44(4), 713-724. https://doi.org/10.1093/genetics/44.4.713",,,,,,,,,,,,
file 53 .csv,dros.sperm.csv,D. mojavensis,sperm length,XY,LH,animal,within,Y,,cmat,cmatrix.sperm.csv,"Miller, G. T., Starmer, W. T., & S. Pitnick 2003. Quantitative genetic analysis of among-population variation in sperm and female sperm-storage organ length in Drosophila mojavensis. Genetical research, 81(03), 213-220.",,,,,,,,,,,,
file 54 .csv,dros.sr.csv,D. mojavensis,sperm receptacle length,XY,LH,animal,within,Y,,cmat,cmatrix.sr.csv,"Miller, G. T., Starmer, W. T., & S. Pitnick 2003. Quantitative genetic analysis of among-population variation in sperm and female sperm-storage organ length in Drosophila mojavensis. Genetical research, 81(03), 213-220.",,,,,,,,,,,,
,dry.biomass.csv,Willow,dry above ground biomass,NSC,M,plant,between,Y,env of all 6 gardens,standard,,"Fritz, R.S., et al. 2006. Fitness and genetic architecture of parent and hybrid willows in common gardens. Evolution. 60(6), 1215-1227.",,,,,,,,,,,,
,E.s-gracilis.csv,Willow,herbivore density,NSC,M,plant,between,Y,Eupontania s-gracilis,standard,,"Hochwender, C.G. & Fritz, R.S. (2004). Plant genetic differences influence herbivore community structure: evidence from a hybrid willow system. Oecologia. 138, 547-557.",,,,,,,,,,,,
,eardiam.hi25sp.csv,"Zea mays, Zea diploperennis Iltis",ear diameter (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,eardiam.hi25w.csv,"Zea mays, Zea diploperennis Iltis",ear diameter (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,eardiam.hi26sp.csv,"Zea mays, Zea diploperennis Iltis",ear diameter (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,eardiam.hi26w.csv,"Zea mays, Zea diploperennis Iltis",ear diameter (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,eardiam.hi27sp.csv,"Zea mays, Zea diploperennis Iltis",ear diameter (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,eardiam.hi27w.csv,"Zea mays, Zea diploperennis Iltis",ear diameter (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,eardiam.hi28sp.csv,"Zea mays, Zea diploperennis Iltis",ear diameter (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,eardiam.hi28w.csv,"Zea mays, Zea diploperennis Iltis",ear diameter (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,eardiam.hi29w.csv,"Zea mays, Zea diploperennis Iltis",ear diameter (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,eardiam.hi30w.csv,"Zea mays, Zea diploperennis Iltis",ear diameter (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,eardiam.hi31w.csv,"Zea mays, Zea diploperennis Iltis",ear diameter (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,eardiam.hi32w.csv,"Zea mays, Zea diploperennis Iltis",ear diameter (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,eardiam.hi33sp.csv,"Zea mays, Zea diploperennis Iltis",ear diameter (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,eardiam.hi33w.csv,"Zea mays, Zea diploperennis Iltis",ear diameter (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,eardiam.hi34w.csv,"Zea mays, Zea diploperennis Iltis",ear diameter (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,eardiam.hi35sp.csv,"Zea mays, Zea diploperennis Iltis",ear diameter (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,eardiam.hi35w.csv,"Zea mays, Zea diploperennis Iltis",ear diameter (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,earht.csv,Zea mays,ear height (cm),NSC,M,plant,within,N,,PSU,,"Harville, B.G., Josephson, L.M. (1979) Inheritance of ear height and associated characters in maize. Maydica. 24, 95-102. ",,,,,,,,,,,,
,earlen.hi25sp.csv,"Zea mays, Zea diploperennis Iltis",ear length (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,earlen.hi25w.csv,"Zea mays, Zea diploperennis Iltis",ear length (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,earlen.hi26sp.csv,"Zea mays, Zea diploperennis Iltis",ear length (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,earlen.hi26w.csv,"Zea mays, Zea diploperennis Iltis",ear length (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,earlen.hi27sp.csv,"Zea mays, Zea diploperennis Iltis",ear length (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,earlen.hi27w.csv,"Zea mays, Zea diploperennis Iltis",ear length (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,earlen.hi28sp.csv,"Zea mays, Zea diploperennis Iltis",ear length (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,earlen.hi28w.csv,"Zea mays, Zea diploperennis Iltis",ear length (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
,earlen.hi29w.csv,"Zea mays, Zea diploperennis Iltis",ear length (cm),NSC,M,plant,between,N,,PSU,,"Srinivasan, G., Brewbaker, J.L. (1999) Genetic analysis of hybrids between maize and perennial teosine II ear traits. Maydica. 44, 371-384. ",,,,,,,,,,,,
