add,dom,epi,file,refile,cohorts,class,kingdom,domestication,trait,species,SCS,divergence,weighted,method
0.160742957,0,0.839257043,h-nig.sing.csv,h-nig.sing.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0,1,h-osa.col.csv,h-osa.col.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0,1,h-pm.sin.csv,h-pm.sin.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0.376362448,0.623637552,m-ba.sq.csv,m-ba.sq.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
0,0.399949283,0.600050717,m-bh.sq.csv,m-bh.sq.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
NA,NA,NA,m-da.sq.csv,m-da.sq.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
NA,NA,NA,nig.cro.csv,nig.cro.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
NA,NA,NA,nig.sing.csv,nig.sing.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
NA,NA,NA,osa.col.csv,osa.col.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
0.189557154,0.217355505,0.593087341,per.inf.csv,per.inf.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
0,0.181659685,0.818340315,per.sq.csv,per.sq.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
0,0,1,pm.sin.csv,pm.sin.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
NA,NA,NA,sin.cro.csv,sin.cro.csv,reduced,LH,animal,lab,number of offspring,Tribolium castaneum,XY,between,Y,standard
1,0,0,trib29ban.inf.csv,trib29ban.inf.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
1,0,0,trib29ban.osa.csv,trib29ban.osa.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
NA,NA,NA,trib29col.ban.csv,trib29col.ban.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
NA,NA,NA,trib29cro.inf.csv,trib29cro.inf.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
0,0.487565559,0.512434441,trib29dar.bho.csv,trib29dar.bho.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
NA,NA,NA,trib29nig.cro.csv,trib29nig.cro.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
0.263508564,0,0.736491436,trib29nig.sin.csv,trib29nig.sin.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
NA,NA,NA,trib29osa.col.csv,trib29osa.col.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
NA,NA,NA,trib29par.inf.csv,trib29par.inf.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
NA,NA,NA,trib29per.san.csv,trib29per.san.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
0.024320009,0,0.975679991,trib29pin.sin.csv,trib29pin.sin.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
NA,NA,NA,trib29sin.cro.csv,trib29sin.cro.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
NA,NA,NA,trib35ban.inf.csv,trib35ban.inf.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
1,0,0,trib35ban.osa.csv,trib35ban.osa.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
0,0.302635452,0.697364548,trib35col.ban.csv,trib35col.ban.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
0.46840505,0.53159495,0,trib35cro.inf.csv,trib35cro.inf.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
1,0,0,trib35dar.bho.csv,trib35dar.bho.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
0.29918114,0.327583669,0.373235191,trib35nig.cro.csv,trib35nig.cro.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
0.481452723,0,0.518547277,trib35nig.sin.csv,trib35nig.sin.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
0.546654288,0,0.453345712,trib35osa.col.csv,trib35osa.col.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
NA,NA,NA,trib35par.inf.csv,trib35par.inf.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
NA,NA,NA,trib35per.san.csv,trib35per.san.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
0,0,1,trib35pin.sin.csv,trib35pin.sin.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
NA,NA,NA,trib35sin.cro.csv,trib35sin.cro.csv,reduced,LH,animal,lab,percent of offspring deformed,Tribolium castaneum,XY,within,Y,standard
