"add","dom","epi","class","kingdom","trait","species","SCS","divergence","weighted","method"
1,0,0,"LH","animal","egg dispersal","beetle Callosobruchus maculatus","XY","within","Y","cmat"
0.196195372949872,0,0.803804627050128,"LH","animal","egg number","rainbow trout","XY","within","Y","PSU"
1,0,0,"LH","animal","egg number","rainbow trout","XY","within","Y","PSU"
0.594066173786328,0.405933826213672,0,"LH","animal","number of eggs hatched","darter fishes","NSC","between","Y","standard"
0,1,0,"LH","animal","% of eggs laid on mushrooms relative to tomatoes","D. tripunctata","XY","within","Y","standard"
NA,NA,NA,"LH","animal","egg size","rainbow trout","XY","within","Y","PSU"
NA,NA,NA,"LH","animal","egg size","rainbow trout","XY","within","Y","PSU"
0,0.551579290815041,0.448420709184959,"LH","animal","egg volume ","rainbow trout","XY","within","Y","PSU"
NA,NA,NA,"LH","animal","egg volume ","rainbow trout","XY","within","Y","PSU"
0,0.517266316669312,0.482733683330688,"M","animal","eye-ball size","cavefish (Astyanax)","NSC","within","Y","PSU"
0,1,0,"M","animal","fluctuating asymmetry","Drosophila","XY","within","Y","standard"
NA,NA,NA,"LH","animal","number of females","Silene","XY","between","Y","standard"
NA,NA,NA,"M","animal","flight time","D. melanogaster","XY","within","Y","standard"
0,0.692359487230791,0.307640512769209,"LH","plant","days to flower","Vigna sesquipedalis","NSC","within","N","PSU"
NA,NA,NA,"LH","plant","days to flower","Vigna sesquipedalis","NSC","within","N","PSU"
0,0.586762900060764,0.413237099939236,"LH","plant","days to flower","Vigna sesquipedalis","NSC","within","N","PSU"
0,0.545680652397345,0.454319347602655,"LH","plant","days to flower","Vigna sesquipedalis","NSC","within","N","PSU"
NA,NA,NA,"LH","plant","number of days taken to flower","eggplant (Solanum melongena)","NSC","within","N","PSU"
NA,NA,NA,"LH","plant","number of days taken to flower","eggplant (Solanum melongena)","NSC","within","N","PSU"
0,0.474101065270314,0.525898934729686,"LH","plant","number of days taken to flower","eggplant (Solanum melongena)","NSC","within","N","PSU"
NA,NA,NA,"LH","plant","number of days taken to flower","eggplant (Solanum melongena)","NSC","within","N","PSU"
NA,NA,NA,"LH","plant","number of days taken to flower","eggplant (Solanum melongena)","NSC","within","N","PSU"
0.165804993687245,0,0.834195006312755,"LH","plant","number of days taken to flower","eggplant (Solanum melongena)","NSC","within","N","PSU"
0.517709851980312,0.482290148019688,0,"LH","plant","days to flower initiation","Brassica juncea","NSC","within","N","standard"
0.630630894535079,0,0.369369105464921,"LH","plant","days to flower initiation","Brassica junces","NSC","within","N","standard"
NA,NA,NA,"LH","plant","days to flower initiation","Brassica junces","NSC","within","N","standard"
0.259012910636855,0,0.740987089363145,"LH","plant","days to flower initiation","Brassica junces","NSC","within","N","standard"
0.800306690699317,0.199693309300683,0,"LH","plant","number of flowers","Mimulus cuprilphilus, Mimulus guttatus","NSC","between","Y","PSU"
0.399992751822607,0.600007248177393,0,"LH","plant","number of flowers","Iris","NSC","between","Y","standard"
0.583944036311663,0.416055963688337,0,"M","plant","flower length","Mimulus cuprilphilus, Mimulus guttatus","NSC","between","Y","PSU"
0.256047528187143,0,0.743952471812857,"M","plant","flower height","Mimulus cuprilphilus, Mimulus guttatus","NSC","between","Y","PSU"
1,0,0,"LH","plant","proportion that flowered","Iris","NSC","between","Y","standard"
0.0451007657901701,0,0.95489923420983,"LH","plant","number of flowering stems","Mimulus cuprilphilus, Mimulus guttatus","NSC","between","Y","PSU"
0.528604186622296,0,0.471395813377704,"LH","plant","time to flowering (anthesis)","Lycopersicon","NSC","between","Y","standard"
0.689190916336615,0,0.310809083663385,"M","plant","flower width","Mimulus cuprilphilus, Mimulus guttatus","NSC","between","Y","PSU"
NA,NA,NA,"LH","plant","fruit-size index (cm)","eggplant (Solanum melongena)","NSC","within","N","PSU"
0.0877752553348527,0,0.912224744665147,"LH","plant","fruit-size index (cm)","eggplant (Solanum melongena)","NSC","within","N","PSU"
1,0,0,"LH","plant","fruit-size index (cm)","eggplant (Solanum melongena)","NSC","within","N","PSU"
0,0,1,"LH","plant","fruit-size index (cm)","eggplant (Solanum melongena)","NSC","within","N","PSU"
1,0,0,"LH","plant","fruit-size index (cm)","eggplant (Solanum melongena)","NSC","within","N","PSU"
NA,NA,NA,"LH","plant","fruit-size index (cm)","eggplant (Solanum melongena)","NSC","within","N","PSU"
NA,NA,NA,"LH","plant","number of fruit plant ","eggplant (Solanum melongena)","NSC","within","N","PSU"
0.152555973433103,0.433069121257519,0.414374905309377,"LH","plant","number of fruit plant ","eggplant (Solanum melongena)","NSC","within","N","PSU"
0,0.557867640212706,0.442132359787294,"LH","plant","number of fruit plant ","eggplant (Solanum melongena)","NSC","within","N","PSU"
0.0344827585379642,0.574712646012276,0.39080459544976,"LH","plant","number of fruit plant ","eggplant (Solanum melongena)","NSC","within","N","PSU"
NA,NA,NA,"LH","plant","number of fruit plant ","eggplant (Solanum melongena)","NSC","within","N","PSU"
0.195289337317867,0.263071144377395,0.541639518304739,"LH","plant","number of fruit plant ","eggplant (Solanum melongena)","NSC","within","N","PSU"
0,0,1,"LH","plant","number of fruits","Iris","NSC","between","Y","standard"
NA,NA,NA,"LH","plant","fruit bearing index","cucumber","NSC","within","N","PSU"
0.076576576548819,0.527027027084003,0.396396396367178,"LH","plant","fruit bearing index","cucumber","NSC","within","N","PSU"
1,0,0,"LH","plant","fruit bearing index","cucumber","NSC","within","N","PSU"
0.612736037980045,0,0.387263962019955,"LH","plant","fruit bearing index","cucumber","NSC","within","N","PSU"
0,0.486629263792194,0.513370736207806,"LH","plant","fruit bearing index","cucumber","NSC","within","N","PSU"
0.0696202532094214,0.373417721115206,0.556962025675372,"LH","plant","fruit bearing index","cucumber","NSC","within","N","PSU"
0.190836696637811,0.456346111389954,0.352817191972235,"LH","plant","number of fruits","Lycopersicon","NSC","between","Y","standard"
NA,NA,NA,"LH","plant","number of fruits","Lycopersicon","NSC","between","Y","standard"
0,0.460957178827098,0.539042821172902,"LH","plant","number of fruits","Lycopersicon","NSC","between","Y","standard"
1,0,0,"LH","plant","number of fruits","Lycopersicon","NSC","between","Y","standard"
1,0,0,"LH","plant","number of fruits","Lycopersicon","NSC","between","Y","standard"
0.335467125418966,0,0.664532874581034,"LH","plant","fruit number per plot","cucumber","NSC","within","N","PSU"
0.179564856498823,0,0.820435143501177,"LH","plant","fruit number per plot","cucumber","NSC","within","N","PSU"
0,0,1,"LH","plant","fruit number per plot","cucumber","NSC","within","N","PSU"
NA,NA,NA,"LH","plant","fruit number per plot","cucumber","NSC","within","N","PSU"
1,0,0,"LH","plant","fruit number per plot","cucumber","NSC","within","N","PSU"
1,0,0,"LH","plant","fruit number per plot","cucumber","NSC","within","N","PSU"
1,0,0,"LH","plant","fruit weight per plot (kg)","cucumber","NSC","within","N","PSU"
1,0,0,"LH","plant","fruit weight per plot (kg)","cucumber","NSC","within","N","PSU"
1,0,0,"LH","plant","fruit weight per plot (kg)","cucumber","NSC","within","N","PSU"
1,0,0,"LH","plant","fruit weight per plot (kg)","cucumber","NSC","within","N","PSU"
1,0,0,"LH","plant","fruit weight per plot (kg)","cucumber","NSC","within","N","PSU"
0.477778851866062,0,0.522221148133938,"LH","plant","fruit weight per plot (kg)","cucumber","NSC","within","N","PSU"
1,0,0,"LH","plant","proportion that set fruit","Iris","NSC","between","Y","standard"
1,0,0,"M","plant","fruit shape","watermelon","NSC","within","Y","PSU"
1,0,0,"M","plant","fruit shape","watermelon","NSC","within","Y","PSU"
1,0,0,"M","plant","fruit shape","watermelon","NSC","within","Y","PSU"
1,0,0,"LH","plant","mean fruit weight","Lycopersicon","NSC","between","Y","standard"
1,0,0,"LH","plant","mean fruit weight","Lycopersicon","NSC","between","Y","standard"
1,0,0,"LH","plant","mean fruit weight","Lycopersicon","NSC","between","Y","standard"
1,0,0,"LH","plant","mean fruit weight","Lycopersicon","NSC","between","Y","standard"
1,0,0,"LH","plant","mean fruit weight","Lycopersicon","NSC","between","Y","standard"
0.399569805888364,0,0.600430194111636,"LH","plant","average fruit weight (g)","cucumber","NSC","within","N","PSU"
1,0,0,"LH","plant","average fruit weight (g)","cucumber","NSC","within","N","PSU"
0.299413345356523,0,0.700586654643477,"LH","plant","average fruit weight (g)","cucumber","NSC","within","N","PSU"
1,0,0,"LH","plant","average fruit weight (g)","cucumber","NSC","within","N","PSU"
1,0,0,"LH","plant","average fruit weight (g)","cucumber","NSC","within","N","PSU"
1,0,0,"LH","plant","average fruit weight (g)","cucumber","NSC","within","N","PSU"
1,0,0,"LH","plant","number of fry to 10 months","darter fishes","NSC","between","Y","standard"
1,0,0,"LH","plant","germination rate","Willow","NSC","between","Y","standard"
1,0,0,"LH","plant","time to germination ","Lycopersicon","NSC","between","Y","standard"
1,0,0,"M","animal","gill raker length","stickleback","XY","within","Y","standard"
1,0,0,"M","animal","gill raker number","stickleback","XY","within","Y","standard"
1,0,0,"LH","plant","grain yield per plant","bread wheat","NSC","within","N","PSU"
1,0,0,"LH","plant","number of grains per spike","bread wheat","NSC","within","N","PSU"
1,0,0,"LH","plant","grain yield","Vigna unguiculata","NSC","within","N","PSU"
1,0,0,"LH","plant","grain yield","Vigna unguiculata","NSC","within","N","PSU"
1,0,0,"LH","plant","grain yield","Vigna unguiculata","NSC","within","N","PSU"
1,0,0,"LH","animal","growth rate","stickleback","XY","within","Y","standard"
1,0,0,"LH","plant","number of ramets produced before the flowering season","Iris","NSC","between","Y","standard"
0.44335898664775,0,0.55664101335225,"LH","animal","number of offspring","T. castaneum","XY","within","Y","standard"
1,0,0,"LH","animal","number of offspring","T. castaneum","XY","within","Y","standard"
1,0,0,"LH","animal","number of offspring","T. castaneum","XY","within","Y","standard"
1,0,0,"LH","animal","number of offspring","T. castaneum","XY","within","Y","standard"
1,0,0,"LH","animal","number of offspring","T. castaneum","XY","within","Y","standard"
1,0,0,"LH","animal","number of offspring","T. castaneum","XY","within","Y","standard"
1,0,0,"LH","animal","number of offspring","T. castaneum","XY","within","Y","standard"
NA,NA,NA,"LH","animal","number of offspring","T. castaneum","XY","within","Y","standard"
0.125837178732187,0.363089476308591,0.511073344959222,"LH","animal","number of offspring","T. castaneum","XY","within","Y","standard"
1,0,0,"LH","plant","days to harvest","Vigna sesquipedalis","NSC","within","N","PSU"
1,0,0,"LH","plant","days to harvest","Vigna sesquipedalis","NSC","within","N","PSU"
1,0,0,"LH","plant","days to harvest","Vigna sesquipedalis","NSC","within","N","PSU"
1,0,0,"LH","plant","days to harvest","Vigna sesquipedalis","NSC","within","N","PSU"
NA,NA,NA,"LH","plant","harvest index","bread wheat","NSC","within","N","PSU"
1,0,0,"M","plant","plant height","Mimulus cuprilphilus, Mimulus guttatus","NSC","between","Y","PSU"
1,0,0,"M","plant","internode number","Jimsonweed (Datura stramonium L.)","NSC","within","N","PSU"
1,0,0,"M","plant","internode number","Jimsonweed (Datura stramonium L.)","NSC","within","N","PSU"
1,0,0,"M","plant","internode number","Jimsonweed (Datura stramonium L.)","NSC","within","N","PSU"
0,1,0,"M","plant","internode number","Jimsonweed (Datura stramonium L.)","NSC","within","N","PSU"
NA,NA,NA,"M","plant","juvenile leaf width (mm)","spanish clover","NSC","within","Y","PSU"
NA,NA,NA,"M","plant","kernels per row","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0,1,"M","plant","kernels per row","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","kernels per row","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.599268145904479,0,0.400731854095521,"M","plant","kernels per row","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.700226347850637,0,0.299773652149363,"M","plant","kernels per row","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","kernels per row","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.809012328217168,0,0.190987671782832,"M","plant","kernels per row","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","kernels per row","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0,1,"M","plant","kernels per row","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
1,0,0,"M","plant","kernels per row","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0,1,"M","plant","kernels per row","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0.514466282947682,0,0.485533717052318,"M","plant","kernels per row","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0.445180225013251,0.554819774986749,"M","plant","kernels per row","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
NA,NA,NA,"M","plant","kernels per row","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
0,0.407310720174226,0.592689279825774,"M","plant","kernels per row","Zea mays, Zea diploperennis Iltis","NSC","between","N","PSU"
