"","epi","class","kingdom","divergence","file","combo"
"398",1,"LH","animal","within","eFL.wFL.low.csv","Wyeomyia smithii-fitness at low density of food"
"399",0.20036592704776,"LH","animal","within","eggbody69.csv","rainbow trout-number of eggs per unit body weight"
"401",0.122690330983049,"LH","animal","within","eggdisp.BF.csv","Callosobruchus maculatus-egg dispersal"
"405",0.5,"LH","animal","within","eggnum69.csv","rainbow trout-egg number"
"407",0.275556310910087,"M","plant","within","eggplant-anthocy1.csv       ","Solanum melongena-anthocyanin content"
"411",0.829837630911267,"M","plant","within","eggplant-ascorbic.acid1.csv ","Solanum melongena-ascorbic acid content"
"415",0.629981601963381,"M","plant","within","eggplant-dry.matter1.csv    ","Solanum melongena-dry matter content"
"420",1,"M","plant","within","eggplant-glyco2.csv         ","Solanum melongena-glycoalkaloid content"
"424",0.43513216068381,"M","plant","within","eggplant-oil.content2.csv   ","Solanum melongena-oil content in seeds"
"427",0.927088348026772,"M","plant","within","eggplant-phenol1.csv        ","Solanum melongena-total phenol content"
"432",0.930529050440474,"M","plant","within","eggplant-polyphenol.oxi2.csv","Solanum melongena-polyphenol oxidase activity"
"435",0.686348765593905,"M","plant","within","eggplant-reduce.sugar1.csv  ","Solanum melongena-reducing sugars"
"439",1,"LH","plant","within","eggplant-seed.weight1.csv   ","Solanum melongena-seed weight"
"443",0.815616025728477,"M","plant","within","eggplant-soluble.sugar1.csv ","Solanum melongena-total soluble sugars"
"447",1,"LH","animal","between","eggs.hatched1.csv","Etheostoma caeruleum, Etheostoma spectabile-number of eggs hatched"
"448",0.485533717052318,"LH","animal","within","eggs.laid.csv","Drosophila tripunctata-% of eggs laid on mushrooms relative to tomatoes"
"449",0.554819774986749,"LH","animal","within","eggsize69.csv","rainbow trout-egg size"
"451",0.592689279825774,"LH","animal","within","eggvol69.csv","rainbow trout-egg volume "
"453",0.815921992611635,"M","plant","between","eucalyptus-dbh.ridgley.csv","Eucalyptus globulus, Eucalyptus nitens-diameter at breast height"
"455",0.809029233884428,"LH","plant","between","eucalyptus-surv.ridgley.csv","Eucalyptus globulus, Eucalyptus nitens-percent survival"
"457",0.935382061463581,"LH","plant","between","eukalyptus2-20.growth.csv","Eucalyptus-20 year growth of survivors"
"458",1,"LH","plant","between","eukalyptus2-20.rep.csv","Eucalyptus-proportion of survivors reproductive"
"459",0.918736303675095,"LH","plant","between","eukalyptus2-20.surv.csv","Eucalyptus-20 year survival"
"460",0.563768229800233,"LH","plant","between","eukalyptus2-germ.success.csv","Eucalyptus-germination success"
"461",0.715409742748165,"LH","plant","between","eukalyptus2-germ.time.csv","Eucalyptus-germination time"
"463",0.498595326157122,"LH","plant","between","eukalyptus2-seed.set.csv","Eucalyptus-seed set"
"464",0,"M","animal","within","eyesize.csv","Astyanax-eye-ball size"
"465",0,"M","animal","within","FA.dros.csv","Drosophila falleni-fluctuating asymmetry"
"466",0.881809821927486,"LH","plant","within","faba-been-daystoflower1.csv","Vicia faba-days to flower"
"469",0.435773183841455,"LH","plant","within","faba-been-harvest-index2.csv","Vicia faba-harvest index"
"470",0.660133930174408,"LH","plant","within","faba-been-k-seed-weight1.csv","Vicia faba-seed weight"
"472",0.0472541816278175,"M","plant","within","faba-been-num-branches1.csv","Vicia faba-number of branches"
"474",0.468632358428479,"LH","plant","within","faba-been-num-pods1.csv","Vicia faba-number of pods"
"476",0.394211644415051,"LH","plant","within","faba-been-num-seeds1.csv","Vicia faba-number of seeds"
"478",0.931796304739826,"M","plant","within","faba-been-plantheight1.csv","Vicia faba-plant height"
"481",0.406854615989217,"LH","plant","within","faba-been-seedyield2.csv","Vicia faba-seed yield"
"484",0.709235599431004,"LH","plant","between","fem.num.csv","Silene latifolia, Silene diclinis-number of females"
"485",0,"M","animal","within","flight.time.csv","Drosophila melanogaster-flight time"
"486",0.223743191112652,"LH","plant","within","flower.30x19.csv","Vigna sesquipedalis-days to flower"
"490",0.263057231603003,"LH","plant","within","flower.day1.csv","Solanum melongena-number of days taken to flower"
"496",0.459784065794465,"LH","plant","within","flower.init.csv","Brassica juncea-days to flower initiation"
"497",0.29572223943286,"LH","plant","within","flower.init1.csv","Brassica junces-days to flower initiation"
"501",0,"LH","plant","between","flower.years.csv","Iris brevivaulis, Iris fulva-number of flowers"
"502",0,"M","plant","between","flowerD.csv","Mimulus cuprilphilus, Mimulus guttatus-flower length"
"503",0.185646509086434,"M","plant","between","flowerH.csv","Mimulus cuprilphilus, Mimulus guttatus-flower height"
"505",0,"LH","plant","between","flowerstem.num.csv","Mimulus cuprilphilus, Mimulus guttatus-number of flowering stems"
"506",0,"LH","plant","between","flowertimeLCA.csv","Solanum lycopersicum, Solanum pennellii-time to flowering (anthesis)"
"507",0,"M","plant","between","flowerW.csv","Mimulus cuprilphilus, Mimulus guttatus-flower width"
"508",0.341210552122195,"LH","plant","within","fruit.in1.csv","Solanum melongena-fruit-size index (cm)"
"514",0.25886397982574,"LH","plant","within","fruit.no1.csv","Solanum melongena-number of fruit per plant "
"521",0.139559647185629,"LH","plant","within","fruitindex1.csv","Cucumis sativus-fruit bearing index"
"527",0.352923935795879,"LH","plant","between","fruitnum.dj38.csv","Lycopersicon esculenium, Lycopersicon pimpinellifolium-number of fruits"
"532",0.179313365732036,"LH","plant","within","fruitnum1.csv","Cucumis sativus-fruit number per plot"
"539",0.426772208372552,"LH","plant","within","fruitplot2.csv","Cucumis sativus-fruit weight per plot (kg)"
"545",0.195722017274718,"M","plant","within","fruitshape1.csv","watermelon-fruit shape"
"549",0.272510577646383,"LH","plant","between","fruitwt.dj39.csv","Lycopersicon esculenium, Lycopersicon pimpinellifolium-fruit weight"
"554",0.57429174679974,"LH","plant","within","fruitwt2.csv","Cucumis sativus-fruit weight"
"560",0.809571317468318,"LH","plant","between","germ.rate.csv","Salix eriocephala, Salix sericea-germination rate"
"561",1,"LH","plant","between","germLCA.csv","Solanum pennellii, Solanum lycopersicum-time to germination "
"562",0.638290144195831,"M","animal","within","gill.rake.len.csv","stickleback-gill raker length"
"563",0,"M","animal","within","gill.rake.num.csv","stickleback-gill raker number"
"564",0,"M","plant","within","gourd-branches.csv","Momordica charantia-number of primary branches"
"565",0.53391342758286,"M","plant","within","gourd-internode.csv","Momordica charantia-internode length"
"567",0.288505532485599,"M","plant","within","gourd-leaflen.csv","Momordica charantia-leaf length"
"568",1,"M","plant","within","gourd-leafratio.csv","Momordica charantia-leaf length width ratio"
"569",0,"M","plant","within","gourd-leafwid.csv","Momordica charantia-leaf width"
"570",0.440501405597489,"M","plant","within","gourd-peduncle.csv","Momordica charantia-peduncle length"
"571",0,"LH","plant","within","gourd-pericarp.csv","Momordica charantia-pericarp thickness"
"572",0.432893985973936,"LH","plant","within","gourd-seednum.csv","Momordica charantia-seed number"
"574",0,"LH","plant","within","grain.yield.csv","bread wheat-grain yield per plant"
"575",0.490281314145226,"LH","plant","within","grains.num.csv","bread wheat-number of grains per spike"
"576",0.477701498064357,"LH","plant","within","grainyield1.csv","Vigna unguiculata-grain yield"
"590",0.135372632696481,"LH","plant","within","harvest.30x19.csv","Vigna sesquipedalis-days to harvest"
"595",0,"M","plant","between","height.plant.csv","Mimulus cuprilphilus, Mimulus guttatus-plant height"
"596",0,"M","plant","within","internode.num1.csv","Datura stramonium-internode number"
"600",0,"M","plant","within","juv.leafwd.csv","Desmodium sandwicense-leaf width"
"601",0,"M","plant","between","kernum.hi25sp.csv","Zea mays, Zea diploperennis Iltis-kernels per row"
"618",0,"M","plant","between","kerrow.hi25sp.csv","Zea mays, Zea diploperennis Iltis-kernel rows per ears"
"637",0,"LH","animal","between","killfish-hatch-success.low.csv","Lucania goodei, Lucania parva-hatching success low salinity"
"638",0,"LH","animal","between","killfish-surv.eat.high.csv","Lucania goodei, Lucania parva-survival to eating high salinity"
"640",0,"M","plant","within","lat.root.csv","Zea mays-number of lateral roots"
"641",0,"M","plant","between","leaf.area.csv","Mimulus cuprilphilus, Mimulus guttatus-leaf area"
"642",0,"M","plant","between","leafL.csv","Mimulus cuprilphilus, Mimulus guttatus-leaf length"
"643",0,"M","plant","between","leaflen.hi25sp.csv","Zea mays, Zea diploperennis Iltis-leaf length"
"660",0.685217819403095,"M","plant","between","leafLFa.csv","Salix eriocephala, Salix sericea-herbivore density"
"662",0,"M","plant","between","leafW.csv","Mimulus cuprilphilus, Mimulus guttatus-leaf width"
"663",0.133651548010066,"M","plant","between","leafw.hi25sp.csv","Zea mays, Zea diploperennis Iltis-leaf width"
"680",0.146873076175638,"M","plant","within","leafwt1.csv","Datura stramonium-leaf weight"
"684",0.133737151133488,"M","plant","between","leaves.hi25sp.csv","Zea mays, Zea diploperennis Iltis-number of leaves"
"701",0,"M","plant","within","lentil-branch.num.csv","Lens culinaris-number of primary branches"
"702",0,"M","plant","within","lentil-cluster.num.csv","Lens culinaris-number of clusters per plant"
"705",0,"LH","plant","within","lentil-pod.len.csv","Lens culinaris-pod length"
"706",0.486162626803187,"LH","plant","within","lentil-pod.num.csv","Lens culinaris-number of pods per plant"
"707",0,"M","plant","within","lentil-sec.branch.csv","Lens culinaris-number of secondary branches"
"708",0,"LH","plant","within","lentil-seed.num.csv","Lens culinaris-number of seeds per plant"
"709",0,"LH","plant","within","lentil-seed.pod.csv","Lens culinaris-number of seeds per pod"
"710",1,"LH","plant","within","lentil-seed.yield.csv","Lens culinaris-seed yield per plant"
"711",0.460598435721841,"LH","plant","within","lentil-seedwt.csv","Lens culinaris-seed weight"
"712",0,"M","plant","between","lobeL.csv","Mimulus cuprilphilus, Mimulus guttatus-lower corolla lobe length"
"713",0,"M","plant","between","lobeW.csv","Mimulus cuprilphilus, Mimulus guttatus-lower corolla lobe width"
"714",0.271987107347157,"LH","plant","between","locule.dj38.csv","Lycopersicon esculenium, Lycopersicon pimpinellifolium-number of locules"
"722",0.124844466984821,"M","plant","within","maize-ear.diameter1.csv ","Zea mays-ear diameter"
"738",0,"LH","plant","within","maize-silking.days1.csv ","Zea mays-days to 50% silking"
"740",0.541163543650192,"LH","plant","between","male.num.csv","Silene latifolia, Silene diclinis-number of males"
"741",1,"LH","plant","between","matfit.years.csv","Iris brevivaulis, Iris fulva-maternal fitness"
"742",0.867393211251228,"LH","plant","within","mature.days1.csv","Brassica junces-days to maturity"
"745",0,"LH","plant","within","maturity.days.csv","Brassica juncea-days to maturity"
"746",1,"LH","plant","within","melon-anthesis.csv","Cucumis melo-days to anthesis"
"747",0,"M","plant","within","melon-branch.num1.csv","Cucumis melo-primary branch number"
"749",0.353968227247286,"LH","plant","within","melon-fruit.num1.csv","Cucumis melo-fruit number per plant"
"751",0.6396577795578,"LH","plant","within","melon-fruit.weight1.csv","Cucumis melo-fruit weight per plant"
"755",0.573180030639345,"M","plant","within","meso.root.csv","Zea mays-number of mesocotyl roots"
"756",0,"M","plant","within","mesolen1.csv","Oryza sativa-mesocotyl length"
"759",0.583363669693568,"M","plant","between","mite.num.csv","Salix eriocephala, Salix sericea-number of mite gals"
"760",0.537318569770005,"LH","plant","within","NCSU.fruit.num.csv","Cucumis sativus-number of fruits per plant"
"761",0.5,"M","plant","within","NCSU.internode.len.csv","Cucumis sativus-internode length"
"762",0,"M","plant","within","NCSU.lateral.num.csv","Cucumis sativus-number of primary laterals"
"763",0.312356547739768,"M","plant","within","NCSU.node.num.csv","Cucumis sativus-number of nodes"
"767",1,"M","plant","within","nitrogenfix.csv","Desmodium sandwicense-nitrogen fixation component"
"770",0.595476360343771,"M","plant","within","nodes.below.csv","Zea mays-number of nodes below ear"
"771",0.844370860927152,"LH","plant","within","okra-first.flower1.csv","Abelmoschous esculentus-days to first flowering"
"777",0.555555555555556,"LH","plant","within","okra-fruit-weight1.csv","Abelmoschus esculentus-fruit weight"
"779",0.386782677870452,"LH","plant","within","okra-fruit.yield1.csv","Abelmoschous esculentus-fruit yield"
"789",0,"LH","plant","within","okra-num-fruit-1.csv","Abelmoschus esculentus-number of fruit"
"791",1,"M","plant","within","okra-plant-height1.csv","Abelmoschus esculentus-plant height"
"793",0.557220171012784,"LH","plant","within","okra-pod.num1.csv","Abelmoschous esculentus-number of pods per plant"
"801",0,"LH","plant","within","okra-total.yield1.csv","Abelmoschous esculentus-yield"
"803",0.168978004681385,"M","plant","within","okra-water1.csv","Abelmoschous esculentus-leaf water potential"
"811",0.208240258361831,"LH","plant","within","okra-yield-1.csv","Abelmoschus esculentus-yield"
"820",0.672856461112406,"LH","animal","within","ova25.csv","Drosophila hibisci-ovariole number"
"821",0,"LH","plant","between","ovary.csv","Mimulus cuprilphilus, Mimulus guttatus-ovary length"
"822",0.309913744080921,"LH","plant","between","ovule.num.csv","Silene latifolia, Silene diclinis-number of ovules"
"832",0,"M","plant","within","peanut-Fe-root2.csv","Arachis hypogaea-Fe root concentration"
"833",0,"M","plant","within","peanut-Fe-shoot1.csv","Arachis hypogaea-Fe shoot concentration"
"835",0.852530680325785,"LH","plant","within","peanut-HKW-1.csv","Arachis hypogaea-kernel weight"
"837",0,"M","plant","within","peanut-HY-1.csv","Arachis hypogaea-shoot weight"
"841",0,"M","plant","within","peanut-Kshoot-1.csv","Arachis hypogaea-K shoot concentration"
"843",0,"LH","plant","within","peanut-necrosis1.csv","Arachis hypogaea-peanut bud necrosis incidence %"
"846",0,"M","plant","within","peanut-oil.conc1.csv","Arachis hypogaea-oil concentration"
"848",0,"M","plant","within","peanut-P-root1.csv","Arachis hypogaea-P root concentration"
"851",0.655999601851391,"M","plant","within","peanut-P-shoot2.csv","Arachis hypogaea-P shoot concentration"
"853",0.5,"LH","plant","within","peanut-PY-2.csv","Arachis hypogaea-pod yield"
"855",1,"M","plant","within","peanut-RDW-2.csv","Arachis hypogaea-root weight"
"856",0.174689619631406,"M","plant","within","peanut-SHP-1.csv","Arachis hypogaea-shelling percent"
"863",0,"M","plant","within","peanut2-arachidic.acid.2.csv","Arachis hypogaea-arachidic acid"
"865",1,"M","plant","within","peanut2-behenic.acid.1.csv","Arachis hypogaea-behenic acid"
"869",0.304158337596161,"M","plant","within","peanut2-eicosenoic.acid.2.csv","Arachis hypogaea-eicosenoic acid"
"871",0.333333333333333,"M","plant","within","peanut2-FA-ratio1.csv","Arachis hypogaea-fatty acid ratio"
"874",0.113241098076892,"M","plant","within","peanut2-facids-1.csv","Arachis hypogaea-fatty acids"
"878",0.5,"M","plant","within","peanut2-Iod-2.csv","Arachis hypogaea-iodine"
"880",0.830145040134054,"M","plant","within","peanut2-lignoceric.acid.1.csv","Arachis hypogaea-lignoceric acid"
"884",0.394228954896757,"M","plant","within","peanut2-linoleic.acid.2.csv","Arachis hypogaea-linoleic acid"
"886",0.567197221822077,"M","plant","within","peanut2-longchainFA-1.csv","Arachis hypogaea-long chain fatty acids"
"890",0.448538017767762,"M","plant","within","peanut2-oil-ratio-2.csv","Arachis hypogaea-oil ratio"
"892",0.172982838597404,"M","plant","within","peanut2-oil1.csv","Arachis hypogaea-fatty acid concentration"
"910",0.35590931112084,"M","plant","within","peanut2-oleic.acid.1.csv","Arachis hypogaea-oleic acid"
"914",0,"M","plant","within","peanut2-palmictic.acid.2.csv","Arachis hypogaea-palmictic acid"
"917",0,"M","plant","within","peanut2-stearic.acid.2.csv","Arachis hypogaea-stearic acid"
"920",0,"LH","plant","within","peanut3-latent period2.csv","Arachis hypogaea-latency period - disease"
"921",0,"M","plant","within","peanut3-lesionarea1.csv","Arachis hypogaea-lesioned area"
"923",0,"M","plant","within","peanut3-lesionspercm1.csv","Arachis hypogaea-lesions per cm"
"925",0.33108625618168,"M","plant","within","peanut3-lesionsperleaf1.csv","Arachis hypogaea-lesions per leaf"
"928",0.424023399360815,"M","plant","within","peanut3-percentdefoliation2.csv","Arachis hypogaea-precent defoliation"
"929",0.608528206636527,"LH","plant","within","peanut4-podlength1.csv","Arachis hypogaea-pod length"
"931",0,"LH","plant","within","peanut4-podweight1.csv","Arachis hypogaea-pod weight"
"933",0.5,"LH","plant","within","peanut4-podwidth1.csv","Arachis hypogaea-pod width"
"938",0.5,"LH","plant","within","peanut4-seedpodratio2.csv","Arachis hypogaea-seed pod ratio"
"939",0.444444444444446,"LH","plant","within","peanut4-seedsperpod1.csv","Arachis hypogaea-seed per pod"
"941",0,"LH","plant","within","peanut4-seedweight1.csv","Arachis hypogaea-seed weight"
"944",0.5,"LH","plant","within","peduncnum1.csv","Vigna unguiculata-number of peduncles per plant"
"947",0,"M","animal","within","pelvic.len.csv","stickleback-pelvic spine length"
"950",0.126511449700182,"LH","plant","within","peri.677a.b37.csv","Zea mays-pericarp thickness"
"958",0,"M","plant","within","pericarp.firm.csv","Lycopersicon esculentum-pericarp firmness"
"959",0.379488683309538,"M","plant","between","petiole.csv","Mimulus cuprilphilus, Mimulus guttatus-petiole length"
"961",0.228736202369937,"M","plant","within","photo.ft2.csv","Aeschynomene americana-photoperiod response to flowering date at Ft. Pierce"
"963",0.415286075482567,"M","plant","within","photo.gain1.csv","Aeschynomene americana-photoperiod response to flowering date at Gainesville"
