Morphological Traits,Life History Traits
P root concentration,number of seeds per pod
P shoot concentration,number of siliquae per plant
palmictic acid,nursery survival at 6 months
panicle length,nuzzling
parotid gland length,ovariole number
pedicel length,ovary length
peduncle length,panicles per plant
pelvic spine length,paternal fitness
percent lesions,peak fecundity
pericarp firmness,peanut bud necrosis incidence percent
petiole length,percent grains per panicle
photoperiod response to flowering date ,percent of offspring deformed
plant height,percent survival
plant size,pericarp thickness
plant spread,pistil length
plate number,plant height
pod length,pod length
polyphenol oxidase activity,pod weight
precent defoliation,pod width
primary branch number,pod yield
pronotum width,proportion eggs on cowpea
ratio of cutting weight,proportion of males
reducing sugars,proportion of survivors reproductive
residual variance in biomass tolerance,proportion that flowered
root dry weight,proportion that set fruit
root fractal,proportion viable pollen
root fresh weight,running speed
root length,seed height
root weight,seed length
seed color,seed per pod
seed oil content,seed pod ratio
seedling height,seed set
segment 7 length,seed size
segment 8 length,seed weight
shelling percent,seed width
shoot dry weight,seed yield
shoot fresh weight,seed yield per plant
shoot length,seed yield pp
shoot weight,seeds per fruit
skin reflectance,seeds per pod
snout-vent length,sexual activity
spike length,sperm length
spikelets per spike,sperm receptacle length
spine width,straw yield per plant
stearic acid,style length
stem fractal,survival
stem weight,survival to eating high salinity
sugar percent,survival to eating low salinity
test weight,tassel length
thorax length,time to find food
thorax width,time to first feeding
tibia length,time to germination 
total alkaloids percent,viability
total length,viability with high food
total number of aphids,viability with high food/propionic acid
total phenol content,viability with low food
total soluble solids,yield
total soluble sugars,yield per plant
typanum diameter,yield per spike
uniformity ratio,
wing area,
wing index score,
wing length,
wing size,
Zn root concentration,
Zn shoot concentration,
