add,dom,epi,file,refile,class,kingdom,domestication,trait,species,SCS,divergence,weighted,method
0.199624229,0,0.800375771,ban.inf.csv,ban.inf.csv,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0.085764803,0.914235197,ban.osa.csv,ban.osa.csv,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0,0.501560783,0.498439217,ban.sq.csv,ban.sq.csv,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0.367970265,0.135908209,0.496121526,bean-internode.L-40-1.csv,bean-internode.L-40-1.csv,M,plant,domestic,internode length,Phaseolus vulgaris,NSC,within,N,PSU
0.634112215,0,0.365887785,bean-internode.L-40-2.csv,bean-internode.L-40-2.csv,M,plant,domestic,internode length,Phaseolus vulgaris,NSC,within,N,PSU
1,0,0,bean-internode.L-40-3.csv,bean-internode.L-40-3.csv,M,plant,domestic,internode length,Phaseolus vulgaris,NSC,within,N,PSU
0.530510106,0,0.469489894,bean-internode.L-70-1.csv,bean-internode.L-70-1.csv,M,plant,domestic,internode length,Phaseolus vulgaris,NSC,within,N,PSU
0.644449133,0.355550867,0,bean-internode.L-70-2.csv,bean-internode.L-70-2.csv,M,plant,domestic,internode length,Phaseolus vulgaris,NSC,within,N,PSU
1,0,0,bean-internode.L-70-3.csv,bean-internode.L-70-3.csv,M,plant,domestic,internode length,Phaseolus vulgaris,NSC,within,N,PSU
0.573189555,0,0.426810445,bean-plant.height40-1.csv,bean-plant.height40-1.csv,M,plant,domestic,plant height,Phaseolus vulgaris,NSC,within,N,PSU
1,0,0,bean-plant.height40-2.csv,bean-plant.height40-2.csv,M,plant,domestic,plant height,Phaseolus vulgaris,NSC,within,N,PSU
0.849846052,0,0.150153948,bean-plant.height40-3.csv,bean-plant.height40-3.csv,M,plant,domestic,plant height,Phaseolus vulgaris,NSC,within,N,PSU
0.355968803,0.353866829,0.290164368,bean-plant.height70-1.csv,bean-plant.height70-1.csv,M,plant,domestic,plant height,Phaseolus vulgaris,NSC,within,N,PSU
0.661579622,0.338420378,0,bean-plant.height70-2.csv,bean-plant.height70-2.csv,M,plant,domestic,plant height,Phaseolus vulgaris,NSC,within,N,PSU
0.669206097,0.330793903,0,bean-plant.height70-3.csv,bean-plant.height70-3.csv,M,plant,domestic,plant height,Phaseolus vulgaris,NSC,within,N,PSU
0.159444474,0,0.840555526,beetle-dispersal.csv,beetle-dispersal.csv,LH,animal,lab,dispersal tendency,T. castaneum,XY,within,Y,standard
1,0,0,beetle2-develop.time1.csv,beetle2-develop.time1.csv,LH,animal,wild,development time,Dendroctonus ponderosae,XY,within,Y,PSU
0.568787459,0,0.431212541,beetle2-develop.time2.csv,beetle2-develop.time2.csv,LH,animal,wild,development time,Dendroctonus ponderosae,XY,within,Y,PSU
0.139311463,0,0.860688537,beetle2-develop.time3.csv,beetle2-develop.time3.csv,LH,animal,wild,development time,Dendroctonus ponderosae,XY,within,Y,PSU
1,0,0,beetle2-pwidth1.csv,beetle2-pwidth1.csv,M,animal,wild,pronotum width,Dendroctonus ponderosae,XY,within,Y,PSU
0,0,1,beetle2-pwidth2.csv,beetle2-pwidth2.csv,M,animal,wild,pronotum width,Dendroctonus ponderosae,XY,within,Y,PSU
1,0,0,beetle2-pwidth3.csv,beetle2-pwidth3.csv,M,animal,wild,pronotum width,Dendroctonus ponderosae,XY,within,Y,PSU
1,0,0,beetle3-disp-cc.csv,beetle3-disp-cc.csv,LH,animal,wild,egg dispersion,Callosobruchus maculatus,XY,within,Y,PSU
0.482284187,0,0.517715813,beetle3-disp-cm.csv,beetle3-disp-cm.csv,LH,animal,wild,egg dispersion,Callosobruchus maculatus,XY,within,Y,PSU
1,0,0,beetle3-disp-mc.csv,beetle3-disp-mc.csv,LH,animal,wild,egg dispersion,Callosobruchus maculatus,XY,within,Y,PSU
1,0,0,beetle3-disp-mm.csv,beetle3-disp-mm.csv,LH,animal,wild,egg dispersion,Callosobruchus maculatus,XY,within,Y,PSU
1,0,0,beetle3-eggprop-c.csv,beetle3-eggprop-c.csv,LH,animal,wild,proportion eggs on cowpea,Callosobruchus maculatus,XY,within,Y,PSU
0.407544185,0,0.592455815,beetle3-eggprop-c.csv,beetle3-eggprop-c.csv,LH,animal,wild,proportion eggs on cowpea,Callosobruchus maculatus,XY,within,Y,PSU
0.346679788,0,0.653320212,beetle4-lifespan-cowpea-fem.csv,beetle4-lifespan-cowpea-fem.csv,LH,animal,wild,lifespan,Callosobruchus maculatus,XY,within,N,PSU
1,0,0,beetle4-lifespan-cowpea-male.csv,beetle4-lifespan-cowpea-male.csv,LH,animal,wild,lifespan,Callosobruchus maculatus,XY,within,N,PSU
0.582431227,0.417568773,0,beetle4-lifespan-mung-fem.csv,beetle4-lifespan-mung-fem.csv,LH,animal,wild,lifespan,Callosobruchus maculatus,XY,within,N,PSU
1,0,0,beetle4-lifespan-mung-male.csv,beetle4-lifespan-mung-male.csv,LH,animal,wild,lifespan,Callosobruchus maculatus,XY,within,N,PSU
NA,NA,NA,beetle4-mort-cowpea-fem.csv,beetle4-mort-cowpea-fem.csv,LH,animal,wild,mortality rate,Callosobruchus maculatus,XY,within,N,PSU
1,0,0,beetle4-mort-cowpea-male.csv,beetle4-mort-cowpea-male.csv,LH,animal,wild,mortality rate,Callosobruchus maculatus,XY,within,N,PSU
0,0,1,beetle4-mort-mung-fem.csv,beetle4-mort-mung-fem.csv,LH,animal,wild,mortality rate,Callosobruchus maculatus,XY,within,N,PSU
0,0,1,beetle4-mort-mung-male.csv,beetle4-mort-mung-male.csv,LH,animal,wild,mortality rate,Callosobruchus maculatus,XY,within,N,PSU
1,0,0,beetle5-lifespan.mb.fem.csv,beetle5-lifespan.mb.fem.csv,LH,animal,wild,lifespan,Callosobruchus maculatus,XY,within,Y,PSU
1,0,0,beetle5-lifespan.mb.male.csv,beetle5-lifespan.mb.male.csv,LH,animal,wild,lifespan,Callosobruchus maculatus,XY,within,Y,PSU
NA,NA,NA,beetle5-lifespan.mc.fem.a.csv,beetle5-lifespan.mc.fem.a.csv,LH,animal,wild,lifespan,Callosobruchus maculatus,XY,within,Y,PSU
0,0,1,beetle5-lifespan.mc.fem.b.csv,beetle5-lifespan.mc.fem.b.csv,LH,animal,wild,lifespan,Callosobruchus maculatus,XY,within,Y,PSU
1,0,0,beetle5-lifespan.mc.fem.c.csv,beetle5-lifespan.mc.fem.c.csv,LH,animal,wild,lifespan,Callosobruchus maculatus,XY,within,Y,PSU
NA,NA,NA,beetle5-lifespan.mc.male.a.csv,beetle5-lifespan.mc.male.a.csv,LH,animal,wild,lifespan,Callosobruchus maculatus,XY,within,Y,PSU
NA,NA,NA,beetle5-lifespan.mc.male.b.csv,beetle5-lifespan.mc.male.b.csv,LH,animal,wild,lifespan,Callosobruchus maculatus,XY,within,Y,PSU
NA,NA,NA,beetle5-lifespan.mc.male.c.csv,beetle5-lifespan.mc.male.c.csv,LH,animal,wild,lifespan,Callosobruchus maculatus,XY,within,Y,PSU
0,0.390301302,0.609698698,bh.sq.csv,bh.sq.csv,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
NA,NA,NA,biomassLCA.csv,biomassLCA.csv,M,plant,domestic,above ground biomass,Lycopersicon,NSC,between,Y,standard
0.804507116,0,0.195492884,bodyweight60.fem.csv,bodyweight60.fem.csv,M,animal,lab,60 day bodyweight in females,mice,XY,within,Y,PSU
1,0,0,bodyweight60.male.csv,bodyweight60.male.csv,M,animal,lab,60 day bodyweight in males,mice,XY,within,Y,PSU
0,0,1,bodyweight69.csv,bodyweight69.csv,M,animal,wild,body weight,rainbow trout,XY,within,Y,PSU
0,0,1,bodyweight71.csv,bodyweight71.csv,M,animal,wild,body weight,rainbow trout,XY,within,Y,PSU
NA,NA,NA,branch.no1.csv,branch.no1.csv,M,plant,domestic,number of branches,Solanum melongena,NSC,within,N,PSU
NA,NA,NA,branch.no2.csv,branch.no2.csv,M,plant,domestic,number of branches,Solanum melongena,NSC,within,N,PSU
0,0,1,branch.no3.csv,branch.no3.csv,M,plant,domestic,number of branches,Solanum melongena,NSC,within,N,PSU
NA,NA,NA,branch.no4.csv,branch.no4.csv,M,plant,domestic,number of branches,Solanum melongena,NSC,within,N,PSU
0,0,1,branch.no5.csv,branch.no5.csv,M,plant,domestic,number of branches,Solanum melongena,NSC,within,N,PSU
NA,NA,NA,branch.no6.csv,branch.no6.csv,M,plant,domestic,number of branches,Solanum melongena,NSC,within,N,PSU
0,0,1,broad-ejaculation.csv,broad-ejaculation.csv,LH,animal,domestic,ejaculation,Cavia porcellus,XY,within,Y,PSU
0.035714286,0.392857143,0.571428571,broad-intromission.csv,broad-intromission.csv,LH,animal,domestic,intromission,Cavia porcellus,XY,within,Y,PSU
1,0,0,broad-mounting.csv,broad-mounting.csv,LH,animal,domestic,mounting,Cavia porcellus,XY,within,Y,PSU
0.052631579,0.421052632,0.526315789,broad-nuzzling.csv,broad-nuzzling.csv,LH,animal,domestic,nuzzling,Cavia porcellus,XY,within,Y,PSU
0.511727511,0,0.488272489,broad-rat-activity.csv,broad-rat-activity.csv,LH,animal,lab,activity level,Rattus norvegicus,XY,within,Y,PSU
0.539664779,0.460335221,0,broad-runningtime1.csv,broad-runningtime1.csv,LH,animal,lab,running speed,Mus musculus,XY,within,Y,PSU
0.543002642,0.456997358,0,broad-runningtime2.csv,broad-runningtime2.csv,LH,animal,lab,running speed,Mus musculus,XY,within,Y,PSU
1,0,0,broad-sex.index.csv,broad-sex.index.csv,LH,animal,domestic,sexual activity,Cavia porcellus,XY,within,Y,PSU
NA,NA,NA,broad-timetofood.csv,broad-timetofood.csv,LH,animal,domestic,time to find food,Canis familiaris,XY,within,Y,PSU
0,0,1,c.anthesis1.csv,c.anthesis1.csv,M,plant,domestic,plant height,Pennisetum typhoides,NSC,within,N,PSU
0,0,1,c.anthesis2.csv,c.anthesis2.csv,M,plant,domestic,plant height,Pennisetum typhoides,NSC,within,N,PSU
0,0,1,c.anthesis3.csv,c.anthesis3.csv,M,plant,domestic,plant height,Pennisetum typhoides,NSC,within,N,PSU
1,0,0,c.anthesis4.csv,c.anthesis4.csv,M,plant,domestic,plant height,Pennisetum typhoides,NSC,within,N,PSU
0,0.391924675,0.608075325,c.panicle1.csv,c.panicle1.csv,M,plant,domestic,plant height,Pennisetum typhoides,NSC,within,N,PSU
NA,NA,NA,c.panicle2.csv,c.panicle2.csv,M,plant,domestic,plant height,Pennisetum typhoides,NSC,within,N,PSU
0,0,1,c.panicle3.csv,c.panicle3.csv,M,plant,domestic,plant height,Pennisetum typhoides,NSC,within,N,PSU
1,0,0,c.panicle4.csv,c.panicle4.csv,M,plant,domestic,plant height,Pennisetum typhoides,NSC,within,N,PSU
NA,NA,NA,c.panicle5.csv,c.panicle5.csv,M,plant,domestic,plant height,Pennisetum typhoides,NSC,within,N,PSU
0.045094937,0.306170886,0.648734177,c.panicle6.csv,c.panicle6.csv,M,plant,domestic,plant height,Pennisetum typhoides,NSC,within,N,PSU
NA,NA,NA,Caloptilia.csv,Caloptilia.csv,M,plant,domestic,herbivore density,"Salix eriocephala, Salix sericea",NSC,between,Y,standard
1,0,0,calyx.csv,calyx.csv,M,plant,wild,calyx length,"Mimulus cuprilphilus, Mimulus guttatus",NSC,between,Y,PSU
0,0,1,canola-ff-1.csv,canola-ff-1.csv,LH,plant,domestic,days to first flowering,Brassica napus,NSC,within,Y,PSU
0,1,0,canola-ff-2.csv,canola-ff-2.csv,LH,plant,domestic,days to first flowering,Brassica napus,NSC,within,Y,PSU
0.09540914,0.90459086,0,canola-ff-3.csv,canola-ff-3.csv,LH,plant,domestic,days to first flowering,Brassica napus,NSC,within,Y,PSU
0.041822973,0,0.958177027,canola-ff-4.csv,canola-ff-4.csv,LH,plant,domestic,days to first flowering,Brassica napus,NSC,within,Y,PSU
0,0,1,canola-fsh-1.csv,canola-fsh-1.csv,M,plant,domestic,first siliqua height,Brassica napus,NSC,within,Y,PSU
0,0,1,canola-fsh-2.csv,canola-fsh-2.csv,M,plant,domestic,first siliqua height,Brassica napus,NSC,within,Y,PSU
0,1,0,canola-fsh-3.csv,canola-fsh-3.csv,M,plant,domestic,first siliqua height,Brassica napus,NSC,within,Y,PSU
0,0,1,canola-fsh-4.csv,canola-fsh-4.csv,M,plant,domestic,first siliqua height,Brassica napus,NSC,within,Y,PSU
0,1,0,canola-nrpp-1.csv,canola-nrpp-1.csv,LH,plant,domestic,number of racemes per plant,Brassica napus,NSC,within,Y,PSU
0,0,1,canola-nrpp-2.csv,canola-nrpp-2.csv,LH,plant,domestic,number of racemes per plant,Brassica napus,NSC,within,Y,PSU
0,1,0,canola-nrpp-3.csv,canola-nrpp-3.csv,LH,plant,domestic,number of racemes per plant,Brassica napus,NSC,within,Y,PSU
0,0.720839601,0.279160399,canola-nrpp-4.csv,canola-nrpp-4.csv,LH,plant,domestic,number of racemes per plant,Brassica napus,NSC,within,Y,PSU
0.127366806,0.375151706,0.497481488,canola-ph-1.csv,canola-ph-1.csv,M,plant,domestic,plant height,Brassica napus,NSC,within,Y,PSU
0,0,1,canola-ph-2.csv,canola-ph-2.csv,M,plant,domestic,plant height,Brassica napus,NSC,within,Y,PSU
0.172121015,0,0.827878985,canola-ph-3.csv,canola-ph-3.csv,M,plant,domestic,plant height,Brassica napus,NSC,within,Y,PSU
0.187092034,0,0.812907966,canola-ph-4.csv,canola-ph-4.csv,M,plant,domestic,plant height,Brassica napus,NSC,within,Y,PSU
0,1,0,canola-so-1.csv,canola-so-1.csv,M,plant,domestic,seed oil content,Brassica napus,NSC,within,Y,PSU
0,1,0,canola-so-2.csv,canola-so-2.csv,M,plant,domestic,seed oil content,Brassica napus,NSC,within,Y,PSU
NA,NA,NA,canola-so-3.csv,canola-so-3.csv,M,plant,domestic,seed oil content,Brassica napus,NSC,within,Y,PSU
0,0.461990036,0.538009964,canola-so-4.csv,canola-so-4.csv,M,plant,domestic,seed oil content,Brassica napus,NSC,within,Y,PSU
0,1,0,canola-sw-1.csv,canola-sw-1.csv,LH,plant,domestic,seed weight,Brassica napus,NSC,within,Y,PSU
0,0,1,canola-sw-2.csv,canola-sw-2.csv,LH,plant,domestic,seed weight,Brassica napus,NSC,within,Y,PSU
0,1,0,canola-sw-3.csv,canola-sw-3.csv,LH,plant,domestic,seed weight,Brassica napus,NSC,within,Y,PSU
0.200866546,0.799133454,0,canola-sw-4.csv,canola-sw-4.csv,LH,plant,domestic,seed weight,Brassica napus,NSC,within,Y,PSU
0.049011557,0.577772437,0.373216006,canola-swpp-1.csv,canola-swpp-1.csv,LH,plant,domestic,seed weight,Brassica napus,NSC,within,Y,PSU
0.032688334,0.597219613,0.370092053,canola-swpp-2.csv,canola-swpp-2.csv,LH,plant,domestic,seed weight,Brassica napus,NSC,within,Y,PSU
0,0,1,canola-swpp-3.csv,canola-swpp-3.csv,LH,plant,domestic,seed weight,Brassica napus,NSC,within,Y,PSU
0.013898182,0.620183835,0.365917982,canola-swpp-4.csv,canola-swpp-4.csv,LH,plant,domestic,seed weight,Brassica napus,NSC,within,Y,PSU
0.652664982,0,0.347335018,capsicum-seed.color.csv,capsicum-seed.color.csv,M,plant,domestic,seed color,"Capsicum pubescens, Capsicum eximium",NSC,between,Y,PSU
0.414141116,0,0.585858884,catkin.gardens.csv,catkin.gardens.csv,LH,plant,domestic,number of catkins,"Salix eriocephala, Salix sericea",NSC,between,Y,standard
1,0,0,catkin.num.csv,catkin.num.csv,LH,plant,domestic,filled seeds/catkin,"Salix eriocephala, Salix sericea",NSC,between,Y,standard
0,0,1,chicken-KLH.csv,chicken-KLH.csv,LH,animal,domestic,keyhole limpet hemocyanin,chicken,ZW,within,Y,PSU
1,0,0,chilli-canopy-width1.csv,chilli-canopy-width1.csv,M,plant,domestic,canopy width,Capsicum annuum,NSC,within,Y,PSU
1,0,0,chilli-canopy-width2.csv,chilli-canopy-width2.csv,M,plant,domestic,canopy width,Capsicum annuum,NSC,within,Y,PSU
NA,NA,NA,chilli-canopy-width3.csv,chilli-canopy-width3.csv,M,plant,domestic,canopy width,Capsicum annuum,NSC,within,Y,PSU
1,0,0,chilli-canopy-width4.csv,chilli-canopy-width4.csv,M,plant,domestic,canopy width,Capsicum annuum,NSC,within,Y,PSU
NA,NA,NA,chilli-days-to-fruit-maturity1.csv,chilli-days-to-fruit-maturity1.csv,LH,plant,domestic,days to ripe green fruit,Capsicum annuum,NSC,within,Y,PSU
NA,NA,NA,chilli-days-to-fruit-maturity2.csv,chilli-days-to-fruit-maturity2.csv,LH,plant,domestic,days to ripe green fruit,Capsicum annuum,NSC,within,Y,PSU
NA,NA,NA,chilli-days-to-fruit-maturity3.csv,chilli-days-to-fruit-maturity3.csv,LH,plant,domestic,days to ripe green fruit,Capsicum annuum,NSC,within,Y,PSU
1,0,0,chilli-days-to-fruit-maturity4.csv,chilli-days-to-fruit-maturity4.csv,LH,plant,domestic,days to ripe green fruit,Capsicum annuum,NSC,within,Y,PSU
NA,NA,NA,chilli-days-to-red-fruit1.csv,chilli-days-to-red-fruit1.csv,LH,plant,domestic,days to red fruit,Capsicum annuum,NSC,within,Y,PSU
NA,NA,NA,chilli-days-to-red-fruit2.csv,chilli-days-to-red-fruit2.csv,LH,plant,domestic,days to red fruit,Capsicum annuum,NSC,within,Y,PSU
NA,NA,NA,chilli-days-to-red-fruit3.csv,chilli-days-to-red-fruit3.csv,LH,plant,domestic,days to red fruit,Capsicum annuum,NSC,within,Y,PSU
1,0,0,chilli-days-to-red-fruit4.csv,chilli-days-to-red-fruit4.csv,LH,plant,domestic,days to red fruit,Capsicum annuum,NSC,within,Y,PSU
NA,NA,NA,chilli-daystoflower1.csv,chilli-daystoflower1.csv,LH,plant,domestic,days to flower,Capsicum annuum,NSC,within,Y,PSU
NA,NA,NA,chilli-daystoflower2.csv,chilli-daystoflower2.csv,LH,plant,domestic,days to flower,Capsicum annuum,NSC,within,Y,PSU
0,0,1,chilli-daystoflower3.csv,chilli-daystoflower3.csv,LH,plant,domestic,days to flower,Capsicum annuum,NSC,within,Y,PSU
0,0,1,chilli-daystoflower4.csv,chilli-daystoflower4.csv,LH,plant,domestic,days to flower,Capsicum annuum,NSC,within,Y,PSU
0.12102168,0,0.87897832,chilli-fruitlength1.csv,chilli-fruitlength1.csv,LH,plant,domestic,fruit length,Capsicum annuum,NSC,within,Y,PSU
NA,NA,NA,chilli-fruitlength2.csv,chilli-fruitlength2.csv,LH,plant,domestic,fruit length,Capsicum annuum,NSC,within,Y,PSU
1,0,0,chilli-fruitlength3.csv,chilli-fruitlength3.csv,LH,plant,domestic,fruit length,Capsicum annuum,NSC,within,Y,PSU
0,0.612240221,0.387759779,chilli-fruitlength4.csv,chilli-fruitlength4.csv,LH,plant,domestic,fruit length,Capsicum annuum,NSC,within,Y,PSU
NA,NA,NA,chilli-fruitsperplant1.csv,chilli-fruitsperplant1.csv,LH,plant,domestic,number of fruit,Capsicum annuum,NSC,within,Y,PSU
0,0,1,chilli-fruitsperplant2.csv,chilli-fruitsperplant2.csv,LH,plant,domestic,number of fruit,Capsicum annuum,NSC,within,Y,PSU
0.285272187,0,0.714727813,chilli-fruitsperplant3.csv,chilli-fruitsperplant3.csv,LH,plant,domestic,number of fruit,Capsicum annuum,NSC,within,Y,PSU
NA,NA,NA,chilli-fruitsperplant4.csv,chilli-fruitsperplant4.csv,LH,plant,domestic,number of fruit,Capsicum annuum,NSC,within,Y,PSU
0.188238698,0,0.811761302,chilli-fruitweight1.csv,chilli-fruitweight1.csv,LH,plant,domestic,fruit weight,Capsicum annuum,NSC,within,Y,PSU
0.420364498,0.579635502,0,chilli-fruitweight2.csv,chilli-fruitweight2.csv,LH,plant,domestic,fruit weight,Capsicum annuum,NSC,within,Y,PSU
1,0,0,chilli-fruitweight3.csv,chilli-fruitweight3.csv,LH,plant,domestic,fruit weight,Capsicum annuum,NSC,within,Y,PSU
0.429957951,0.570042049,0,chilli-fruitweight4.csv,chilli-fruitweight4.csv,LH,plant,domestic,fruit weight,Capsicum annuum,NSC,within,Y,PSU
1,0,0,chilli-fruitwidth1.csv,chilli-fruitwidth1.csv,LH,plant,domestic,fruit width,Capsicum annuum,NSC,within,Y,PSU
0,0,1,chilli-fruitwidth2.csv,chilli-fruitwidth2.csv,LH,plant,domestic,fruit width,Capsicum annuum,NSC,within,Y,PSU
NA,NA,NA,chilli-fruitwidth3.csv,chilli-fruitwidth3.csv,LH,plant,domestic,fruit width,Capsicum annuum,NSC,within,Y,PSU
1,0,0,chilli-fruitwidth4.csv,chilli-fruitwidth4.csv,LH,plant,domestic,fruit width,Capsicum annuum,NSC,within,Y,PSU
1,0,0,chilli-plant-height1.csv,chilli-plant-height1.csv,LH,plant,domestic,plant height,Capsicum annuum,NSC,within,Y,PSU
0.389940662,0,0.610059338,chilli-plant-height2.csv,chilli-plant-height2.csv,LH,plant,domestic,plant height,Capsicum annuum,NSC,within,Y,PSU
0.105140166,0.514286629,0.380573205,chilli-plant-height3.csv,chilli-plant-height3.csv,LH,plant,domestic,plant height,Capsicum annuum,NSC,within,Y,PSU
NA,NA,NA,chilli-plant-height4.csv,chilli-plant-height4.csv,LH,plant,domestic,plant height,Capsicum annuum,NSC,within,Y,PSU
NA,NA,NA,chilli-seedsperfruit1.csv,chilli-seedsperfruit1.csv,LH,plant,domestic,number of seeds per fruit,Capsicum annuum,NSC,within,Y,PSU
NA,NA,NA,chilli-seedsperfruit2.csv,chilli-seedsperfruit2.csv,LH,plant,domestic,number of seeds per fruit,Capsicum annuum,NSC,within,Y,PSU
1,0,0,chilli-seedsperfruit3.csv,chilli-seedsperfruit3.csv,LH,plant,domestic,number of seeds per fruit,Capsicum annuum,NSC,within,Y,PSU
NA,NA,NA,chilli-seedsperfruit4.csv,chilli-seedsperfruit4.csv,LH,plant,domestic,number of seeds per fruit,Capsicum annuum,NSC,within,Y,PSU
0,0.10944969,0.89055031,chilli-yield-per-plant1.csv,chilli-yield-per-plant1.csv,LH,plant,domestic,yield per plant,Capsicum annuum,NSC,within,Y,PSU
0,0,1,chilli-yield-per-plant2.csv,chilli-yield-per-plant2.csv,LH,plant,domestic,yield per plant,Capsicum annuum,NSC,within,Y,PSU
0,0,1,chilli-yield-per-plant3.csv,chilli-yield-per-plant3.csv,LH,plant,domestic,yield per plant,Capsicum annuum,NSC,within,Y,PSU
0,0.624987959,0.375012041,chilli-yield-per-plant4.csv,chilli-yield-per-plant4.csv,LH,plant,domestic,yield per plant,Capsicum annuum,NSC,within,Y,PSU
1,0,0,chloroLCA.csv,chloroLCA.csv,M,plant,domestic,chlorophyll content,Lycopersicon,NSC,between,Y,standard
0.357891049,0.136303503,0.505805448,col.ban.csv,col.ban.csv,LH,animal,lab,number of offspring,Tribolium castaneum,XY,within,Y,standard
0.100746188,0.478933181,0.420320631,coleolen1.csv,coleolen1.csv,M,plant,domestic,coleoptile length (mm),Secale cereale,NSC,within,N,PSU
1,0,0,coleolen2.csv,coleolen2.csv,M,plant,domestic,coleoptile length (mm),Secale cereale,NSC,within,N,PSU
NA,NA,NA,coleolen3.csv,coleolen3.csv,M,plant,domestic,coleoptile length (mm),Secale cereale,NSC,within,N,PSU
NA,NA,NA,coleolen4.csv,coleolen4.csv,M,plant,domestic,coleoptile length (mm),Secale cereale,NSC,within,N,PSU
1,0,0,coleolen5.csv,coleolen5.csv,M,plant,domestic,coleoptile length (mm),Secale cereale,NSC,within,N,PSU
NA,NA,NA,corn-anthesis.csv,corn-anthesis.csv,LH,plant,domestic,days to anthesis,Zea mays,NSC,within,Y,PSU
0.151692842,0.848307158,0,corn-ear.height.csv,corn-ear.height.csv,M,plant,domestic,ear height,Zea mays,NSC,within,Y,PSU
0.187618043,0,0.812381957,corn-ear.length.csv,corn-ear.length.csv,M,plant,domestic,ear length,Zea mays,NSC,within,Y,PSU
0.196195373,0,0.803804627,corn-fusarium-resistance.csv,corn-fusarium-resistance.csv,LH,plant,domestic,fusarium rot resistance,Zea mays,NSC,within,Y,PSU
0.095546258,0.904453742,0,corn-grain.yield.csv,corn-grain.yield.csv,LH,plant,domestic,grain yield,Zea mays,NSC,within,Y,PSU
1,0,0,corn-harvest1.csv,corn-harvest1.csv,LH,plant,domestic,harvesting time,Zea mays,NSC,within,N,PSU
NA,NA,NA,corn-harvest2.csv,corn-harvest2.csv,LH,plant,domestic,harvesting time,Zea mays,NSC,within,N,PSU
0.049577187,0.520230994,0.430191819,corn-ker.num.csv,corn-ker.num.csv,LH,plant,domestic,number of kernels per row,Zea mays,NSC,within,Y,PSU
0.333554194,0,0.666445806,corn-kernel.depth.csv,corn-kernel.depth.csv,LH,plant,domestic,kernel depth,Zea mays,NSC,within,Y,PSU
0,1,0,corn-kernel.num1.csv,corn-kernel.num1.csv,LH,plant,domestic,number of kernels,Zea mays,NSC,within,N,PSU
0,1,0,corn-kernel.num2.csv,corn-kernel.num2.csv,LH,plant,domestic,number of kernels,Zea mays,NSC,within,N,PSU
0.237438836,0,0.762561164,corn-kernelwt.csv,corn-kernelwt.csv,LH,plant,domestic,kernel weight,Zea mays,NSC,within,Y,PSU
1,0,0,corn-leaves.csv,corn-leaves.csv,M,plant,domestic,leaves number,Zea mays,NSC,within,Y,PSU
NA,NA,NA,corn-phys.mature.csv,corn-phys.mature.csv,LH,plant,domestic,days to maturity,Zea mays,NSC,within,Y,PSU
0.233372826,0.766627174,0,corn-plant.height.csv,corn-plant.height.csv,M,plant,domestic,plant height,Zea mays,NSC,within,Y,PSU
0,0,1,corn-plant.height1.csv,corn-plant.height1.csv,M,plant,domestic,plant height,Zea mays,NSC,within,N,PSU
0,1,0,corn-plant.height2.csv,corn-plant.height2.csv,M,plant,domestic,plant height,Zea mays,NSC,within,N,PSU
